parameterWaterBodyCategory,observedPropertyDeterminandCode,procedureAnalysedFraction,procedureAnalysedMedia,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,resultMeanValue,waterBodyIdentifier,Country,PopulationDensity,TerraMarineProtected_2016_2018,TouristMean_1990_2020,VenueCount,netMigration_2011_2018,droughts_floods_temperature,literacyRate_2010_2018,combustibleRenewables_2009_2014,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
RW,EEA_3152-01-0,total,water,[pH],2009,2009-01--2009-12,8.38333,ATOK408330038,Austria,107.1279669,28.4133153,19909000,0,74021.25,0.038152978,0,13.54645045,4.2004E+11,31.4,7,4.4,18.5,19.7,11.1,0,7.9,0,25.66
RW,EEA_3152-01-0,total,water,[pH],2009,2009-01--2009-12,7.9225,BERW06_AM17R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15103E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,EEA_3152-01-0,total,water,[pH],2009,2009-01--2009-12,7.846,BG1ER100R001,Bulgaria,64.71109985,28.2937043,4836884,0,-6059.125,0.00855316,10.92804972,5.478176069,56792405577,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,19.03
RW,EEA_3152-01-0,total,water,[pH],2010,2010-01--2010-12,7.9,HRCDRN0022_002,Croatia,73.04937455,23.55662103,7841461,0,-9812.125,0.002494289,11.01392873,13.59949242,61095271083,30.9,3.7,2.1,11.5,23.2,22.9,0,0,5.7,16.32
RW,EEA_3152-01-0,total,water,[pH],2008,2008-06--2008-08,6.71,FI01_011_Y01,Finland,18.14854727,14.17718214,2147000,0,18927,0.000387043,0,21.00745722,2.52692E+11,35.88,9.24,1.7,13.13,37.83,1.45,0,0.73,0,28.12
RW,EEA_3152-01-0,total,water,[pH],2009,2009-01--2009-12,8.15407,FRAR01,France,122.2994372,30.8319059,71176346,0,75808.375,0.005717646,0,4.457840432,2.80604E+12,32,10,3,26,20,9,0,0,0,22.26
RW,EEA_3152-01-0,total,water,[pH],2010,2010-01--2010-12,8.32308,DERW_DEBW_12-01,Germany,237.3075967,38.76723399,22635423,0,582211,0.032824574,0,3.746739915,3.7817E+12,30,10,1.4,17.7,24,13,4,0,0,47.83
RW,EEA_3152-01-0,total,water,[pH],2008,2008-01--2008-12,8.30833,IT11_R021_TR03_A,Italy,205.4183722,13.35901882,39653776,0,297760.25,0.007102219,22.00044929,5.363914103,2.08064E+12,34.4,7.6,4.3,15.4,22.8,11.6,0,3.8,0,25.9
RW,EEA_3152-01-0,total,water,[pH],2010,2010-01--2010-12,8.22667,LT100100014,Lithuania,44.72307577,17.62253776,1538269,0,-38764.875,0,11.09062195,12.93829042,45735444769,40.4,8.65,2.75,44.05,10.05,10.15,0,0.6,0,22.92
RW,EEA_3152-01-0,total,water,[pH],2010,2010-01--2010-12,8,RORW3-1-44_B7,Romania,84.63380129,23.73328038,6568730,0,-83749.75,0.084970988,21.93875376,11.21803612,2.00217E+11,56.26,4.89,2.5,10.68,11.34,12.33,0,2,0,5.67
RW,EEA_3152-01-0,total,water,[pH],2008,2008-01--2008-12,8.3444,RSCRN_1,Serbia,79.8376858,6.45862161,530038,0,6194.875,0.010660574,21.86710188,6.933793362,41308012850,37.62,5.44,1.38,16.72,13.57,12.73,0.4,0,12.14,0.76
RW,EEA_3152-01-0,total,water,[pH],2009,2009-01--2009-12,7.3335,ES014MSPFES-014-MR-069-000-03-00,Spain,93.67719744,15.04788408,50941692,0,-40055.25,0.729193518,87.15892368,4.363288335,1.46451E+12,49,8,3,14,15,9,0,2,0,16.84
RW,EEA_3152-01-0,total,water,[pH],2009,2009-01--2009-12,7.6,SE622476-133505,Sweden,24.98149812,14.26639224,4303307,0,56744.75,0,0,18.03836766,5.60387E+11,23.34,9.15,9.2,0,36.4,6.58,0,0,15.33,32.37
LW,EEA_3152-01-0,total,water,[pH],2007,2007-01--2007-12,8.23,CHLWB-3011,Switzerland,215.4653505,9.660294967,7184000,0,82158.25,0.003887884,0,3.391670327,6.4209E+11,29,4,3,29,20,15,0,0,0,32
RW,EEA_3152-01-0,total,water,[pH],2006,2006-01--2006-12,7.56917,UKGB102075073400,United Kingdom,274.7089819,26.63751077,25867961,0,325435.125,0.032407019,0,1.728675496,2.75762E+12,16.7,2.2,3.5,28.2,18.9,20.2,0,7.6,2.7,27.25
